Best Model!

EPOCH: 1], 	Validation Loss: 0.0554, 	Validation Accuracy: 98.88 %

EPOCH: 2], 	Validation Loss: 0.1615, 	Validation Accuracy: 94.87 %

EPOCH: 3], 	Validation Loss: 0.1001, 	Validation Accuracy: 96.42 %

EPOCH: 4], 	Validation Loss: 2.1815, 	Validation Accuracy: 79.36 %

EPOCH: 5], 	Validation Loss: 0.5438, 	Validation Accuracy: 92.67 %

EPOCH: 6], 	Validation Loss: 0.1561, 	Validation Accuracy: 96.63 %

EPOCH: 7], 	Validation Loss: 0.0900, 	Validation Accuracy: 97.65 %

EPOCH: 8], 	Validation Loss: 0.3969, 	Validation Accuracy: 97.33 %

EPOCH: 9], 	Validation Loss: 1.1113, 	Validation Accuracy: 80.21 %

EPOCH: 10], 	Validation Loss: 1.2152, 	Validation Accuracy: 85.88 %

------------------    Best Model at Epoch 1 Saved    ------------------

Test loss: 0.7780788414272363, Test acc: 85.41226215644821
